"","uf","cod_ibge","ano","bimestre","conta","gasto_liquidado"
"140","AC",12,2024,2,"Difusão do Conhecimento Científico e Tecnológico",3254502.82
"141","AC",12,2024,2,"FU19 - Demais Subfunções",6709739.32
"142","AC",12,2024,3,"Ciência e Tecnologia",8450171.98
"143","AC",12,2024,3,"Desenvolvimento Tecnológico e Engenharia",7326.92
"144","AC",12,2024,3,"Difusão do Conhecimento Científico e Tecnológico",2852419.75
"145","AC",12,2024,3,"FU19 - Demais Subfunções",5590425.31
"146","AC",12,2024,4,"Ciência e Tecnologia",8804461.71
"147","AC",12,2024,4,"Difusão do Conhecimento Científico e Tecnológico",4419048.01
"148","AC",12,2024,4,"FU19 - Demais Subfunções",4385413.7
"149","AC",12,2024,5,"Ciência e Tecnologia",9634515.47
"150","AC",12,2024,5,"Desenvolvimento Científico",22256.64
"151","AC",12,2024,5,"Difusão do Conhecimento Científico e Tecnológico",3128841.32
"152","AC",12,2024,5,"FU19 - Demais Subfunções",6483417.51
"153","AC",12,2024,6,"Ciência e Tecnologia",14641799.6
"154","AC",12,2024,6,"Desenvolvimento Científico",3000
"155","AC",12,2024,6,"Desenvolvimento Tecnológico e Engenharia",4625.9
"156","AC",12,2024,6,"Difusão do Conhecimento Científico e Tecnológico",4025404.9
"157","AC",12,2024,6,"FU19 - Demais Subfunções",10608768.8
"158","AC",12,2025,1,"Ciência e Tecnologia",7550224.32
"159","AC",12,2025,1,"Difusão do Conhecimento Científico e Tecnológico",2788624.37
"160","AC",12,2025,1,"FU19 - Administração Geral",877399.82
"161","AC",12,2025,1,"FU19 - Demais Subfunções",3884200.13
"162","AC",12,2025,2,"Ciência e Tecnologia",8863723.91
"163","AC",12,2025,2,"Desenvolvimento Tecnológico e Engenharia",205120.39
"164","AC",12,2025,2,"Difusão do Conhecimento Científico e Tecnológico",3943613.94
"165","AC",12,2025,2,"FU19 - Administração Geral",1378310.62
"166","AC",12,2025,2,"FU19 - Demais Subfunções",3336678.96
"167","AL",27,2017,6,"Ciência e Tecnologia",22174060.72
"168","AL",27,2017,6,"Desenvolvimento Científico",1873303.83
"169","AL",27,2017,6,"Desenvolvimento Tecnológico e Engenharia",790086.66
"170","AL",27,2017,6,"Difusão do Conhecimento Científico e Tecnológico",106254.79
"171","AL",27,2018,1,"Ciência e Tecnologia",2130503.3
"172","AL",27,2018,1,"Desenvolvimento Científico",797700
"173","AL",27,2018,1,"Difusão do Conhecimento Científico e Tecnológico",13450.57
"174","AL",27,2018,1,"FU19 - Administração Geral",1319352.73
"175","AL",27,2018,2,"Ciência e Tecnologia",3566632.69
"176","AL",27,2018,2,"Desenvolvimento Científico",1295469.02
"177","AL",27,2018,2,"Desenvolvimento Tecnológico e Engenharia",38500
"178","AL",27,2018,2,"Difusão do Conhecimento Científico e Tecnológico",101730
"179","AL",27,2018,2,"FU19 - Administração Geral",1519181.6
"180","AL",27,2018,2,"FU19 - Demais Subfunções",611752.07
"181","AL",27,2018,3,"Ciência e Tecnologia",10574991
"182","AL",27,2018,3,"Desenvolvimento Científico",1125523.29
"183","AL",27,2018,3,"Desenvolvimento Tecnológico e Engenharia",4830.05
"184","AL",27,2018,3,"Difusão do Conhecimento Científico e Tecnológico",588816.94
"185","AL",27,2018,3,"FU19 - Administração Geral",1590346.98
"186","AL",27,2018,3,"FU19 - Demais Subfunções",7265473.74
"187","AL",27,2018,4,"Ciência e Tecnologia",7464332.94
"188","AL",27,2018,4,"Desenvolvimento Científico",1345108.41
"189","AL",27,2018,4,"Desenvolvimento Tecnológico e Engenharia",186615
"190","AL",27,2018,4,"Difusão do Conhecimento Científico e Tecnológico",199657.51
"191","AL",27,2018,4,"FU19 - Administração Geral",1542954.54
"192","AL",27,2018,4,"FU19 - Demais Subfunções",4189997.48
"193","AL",27,2018,5,"Ciência e Tecnologia",10924161.35
"194","AL",27,2018,5,"Desenvolvimento Científico",2323613.33
"195","AL",27,2018,5,"Desenvolvimento Tecnológico e Engenharia",3038.06
"196","AL",27,2018,5,"Difusão do Conhecimento Científico e Tecnológico",28382.79
"197","AL",27,2018,5,"FU19 - Administração Geral",1723762.75
"198","AL",27,2018,5,"FU19 - Demais Subfunções",6845364.42
"199","AL",27,2018,6,"Ciência e Tecnologia",18583127.52
"200","AL",27,2018,6,"Desenvolvimento Científico",1698941.18
"201","AL",27,2018,6,"Desenvolvimento Tecnológico e Engenharia",184835
"202","AL",27,2018,6,"Difusão do Conhecimento Científico e Tecnológico",48068.26
"203","AL",27,2018,6,"FU19 - Administração Geral",3027462.53
"204","AL",27,2018,6,"FU19 - Demais Subfunções",13623820.55
"205","AL",27,2019,1,"Ciência e Tecnologia",5387120
"206","AL",27,2019,1,"Desenvolvimento Científico",917500
"207","AL",27,2019,1,"Difusão do Conhecimento Científico e Tecnológico",12000
"208","AL",27,2019,1,"FU19 - Administração Geral",1134504.88
"209","AL",27,2019,1,"FU19 - Demais Subfunções",3323115.12
"210","AL",27,2019,2,"Ciência e Tecnologia",10777324.82
"211","AL",27,2019,2,"Desenvolvimento Científico",803099.96
"212","AL",27,2019,2,"Desenvolvimento Tecnológico e Engenharia",2660
"213","AL",27,2019,2,"Difusão do Conhecimento Científico e Tecnológico",49000
"214","AL",27,2019,2,"FU19 - Administração Geral",1572343.69
"215","AL",27,2019,2,"FU19 - Demais Subfunções",8350221.17
"216","AL",27,2019,3,"Ciência e Tecnologia",15455352.24
"217","AL",27,2019,3,"Desenvolvimento Científico",1449747.03
"218","AL",27,2019,3,"Desenvolvimento Tecnológico e Engenharia",118971.09
"219","AL",27,2019,3,"Difusão do Conhecimento Científico e Tecnológico",23035
"220","AL",27,2019,3,"FU19 - Administração Geral",3243144.21
"221","AL",27,2019,3,"FU19 - Demais Subfunções",10620454.91
"222","AL",27,2019,4,"Ciência e Tecnologia",13789013.47
"223","AL",27,2019,4,"Desenvolvimento Científico",685301.99
"224","AL",27,2019,4,"Desenvolvimento Tecnológico e Engenharia",11082.04
"225","AL",27,2019,4,"Difusão do Conhecimento Científico e Tecnológico",408362.37
"226","AL",27,2019,4,"FU19 - Administração Geral",1862751.63
"227","AL",27,2019,4,"FU19 - Demais Subfunções",10821515.44
"228","AL",27,2019,5,"Ciência e Tecnologia",10865089.22
"229","AL",27,2019,5,"Desenvolvimento Científico",747344.26
"230","AL",27,2019,5,"Desenvolvimento Tecnológico e Engenharia",18563.65
"231","AL",27,2019,5,"Difusão do Conhecimento Científico e Tecnológico",273304.84
"232","AL",27,2019,5,"FU19 - Administração Geral",2225583.58
